Date,Open,High,Low,Close,Volume
11/10/2023,"4.76","4.86","4.64","4.79","829,788"
11/09/2023,"4.91","4.97","4.71","4.72","707,357"
11/08/2023,"4.80","4.93","4.80","4.88","816,893"
11/07/2023,"4.95","4.95","4.76","4.80","1,550,210"
11/06/2023,"5.06","5.22","4.93","4.95","720,030"
11/03/2023,"5.11","5.41","5.04","5.05","1,022,625"
11/02/2023,"5.13","5.22","5.12","5.18","564,998"
11/01/2023,"5.04","5.09","4.96","5.08","429,392"
10/31/2023,"5.07","5.11","5.04","5.06","347,771"
10/30/2023,"4.96","5.07","4.96","5.06","399,843"
10/27/2023,"5.05","5.06","4.86","4.89","602,752"
10/26/2023,"4.98","5.09","4.96","5.06","571,051"
10/25/2023,"4.94","5.00","4.89","4.95","385,683"
10/24/2023,"5.00","5.04","4.92","4.98","546,879"
10/23/2023,"5.01","5.11","4.95","4.96","420,482"
10/20/2023,"5.03","5.10","5.01","5.04","585,060"
10/19/2023,"5.14","5.17","5.02","5.02","518,703"
10/18/2023,"5.34","5.34","5.14","5.17","520,095"
10/17/2023,"5.29","5.43","5.29","5.39","454,630"
10/16/2023,"5.30","5.37","5.26","5.31","1,058,593"
10/13/2023,"5.36","5.36","5.22","5.24","399,080"
10/12/2023,"5.41","5.41","5.27","5.30","411,807"
10/11/2023,"5.42","5.50","5.37","5.40","372,300"
10/10/2023,"5.42","5.53","5.37","5.39","805,036"
10/09/2023,"5.27","5.43","5.27","5.37","320,609"
10/06/2023,"5.35","5.37","5.23","5.29","438,541"
10/05/2023,"5.38","5.46","5.36","5.37","392,315"
10/04/2023,"5.36","5.43","5.32","5.39","460,587"
10/03/2023,"5.36","5.44","5.31","5.38","528,308"
10/02/2023,"5.70","5.80","5.36","5.38","721,801"
09/29/2023,"5.75","5.81","5.70","5.74","647,449"
09/28/2023,"5.78","5.88","5.67","5.71","727,807"
09/27/2023,"5.78","5.88","5.67","5.77","511,591"
09/26/2023,"5.80","5.85","5.75","5.75","495,179"
09/25/2023,"5.77","5.87","5.73","5.85","480,150"
09/22/2023,"5.92","5.93","5.73","5.82","1,478,746"
09/21/2023,"5.84","5.91","5.81","5.91","618,944"
09/20/2023,"5.77","6.08","5.77","5.89","864,820"
09/19/2023,"5.64","5.76","5.57","5.74","551,475"
09/18/2023,"5.64","5.67","5.58","5.64","413,287"
09/15/2023,"5.72","5.79","5.63","5.65","1,498,642"
09/14/2023,"5.40","5.78","5.40","5.74","591,768"
09/13/2023,"5.36","5.41","5.26","5.35","668,297"
09/12/2023,"5.26","5.43","5.26","5.37","446,688"
09/11/2023,"5.36","5.38","5.22","5.23","698,488"
09/08/2023,"5.27","5.36","5.22","5.31","488,726"
09/07/2023,"5.25","5.33","5.21","5.25","1,104,362"
09/06/2023,"5.28","5.32","5.18","5.26","900,927"
09/05/2023,"5.39","5.42","5.26","5.28","808,068"
09/01/2023,"5.38","5.45","5.34","5.43","769,178"
08/31/2023,"5.25","5.36","5.18","5.33","1,339,189"
08/30/2023,"5.06","5.27","5.06","5.25","600,500"
08/29/2023,"4.91","5.09","4.88","5.09","454,610"
08/28/2023,"4.89","5.01","4.88","4.88","1,071,549"
08/25/2023,"4.89","4.95","4.82","4.85","597,987"
08/24/2023,"4.83","4.87","4.73","4.87","1,020,469"
08/23/2023,"4.91","4.92","4.78","4.86","709,269"
08/22/2023,"5.17","5.20","4.89","4.92","588,146"
08/21/2023,"5.26","5.29","5.14","5.16","486,716"
08/18/2023,"5.34","5.43","5.28","5.32","616,114"
08/17/2023,"5.43","5.48","5.36","5.37","333,951"
08/16/2023,"5.48","5.58","5.42","5.42","484,865"
08/15/2023,"5.46","5.48","5.43","5.46","1,001,489"
08/14/2023,"5.60","5.60","5.44","5.51","410,783"
08/11/2023,"5.65","5.70","5.60","5.61","452,803"
08/10/2023,"5.77","5.88","5.65","5.66","379,309"
08/09/2023,"6.07","6.07","5.44","5.78","771,516"
08/08/2023,"5.95","6.23","5.90","6.05","319,594"
08/07/2023,"6.12","6.14","6.01","6.05","286,774"
08/04/2023,"6.13","6.21","6.08","6.09","434,882"
08/03/2023,"6.10","6.18","6.05","6.10","323,380"
08/02/2023,"6.05","6.18","6.03","6.15","310,353"
08/01/2023,"6.06","6.18","6.01","6.12","505,075"
07/31/2023,"6.01","6.10","6.01","6.09","432,668"
07/28/2023,"5.97","6.04","5.92","6.02","576,939"
07/27/2023,"5.93","5.97","5.87","5.90","1,010,877"
07/26/2023,"5.71","5.90","5.71","5.88","903,189"
07/25/2023,"5.68","5.80","5.67","5.75","380,923"
07/24/2023,"5.66","5.79","5.66","5.70","746,206"
07/21/2023,"5.69","5.69","5.63","5.69","339,681"
07/20/2023,"5.71","5.75","5.62","5.65","301,728"
07/19/2023,"5.69","5.73","5.65","5.71","350,959"
07/18/2023,"5.64","5.74","5.62","5.67","257,499"
07/17/2023,"5.62","5.68","5.56","5.64","431,792"
07/14/2023,"5.68","5.69","5.49","5.60","453,094"
07/13/2023,"5.70","5.71","5.63","5.70","460,069"
07/12/2023,"5.71","5.79","5.68","5.69","502,201"
07/11/2023,"5.67","5.77","5.61","5.67","695,487"
07/10/2023,"5.48","5.70","5.45","5.65","862,447"
07/07/2023,"5.34","5.54","5.34","5.50","1,066,430"
07/06/2023,"5.38","5.42","5.25","5.34","1,005,784"
07/05/2023,"5.39","5.53","5.25","5.44","1,239,596"
07/03/2023,"5.21","5.41","5.21","5.40","319,766"
06/30/2023,"5.19","5.24","5.15","5.21","636,287"
06/29/2023,"5.18","5.26","5.16","5.17","469,731"
06/28/2023,"5.19","5.19","5.08","5.17","289,607"
06/27/2023,"5.12","5.19","5.02","5.18","331,101"
06/26/2023,"4.99","5.13","4.99","5.09","384,567"
06/23/2023,"5.05","5.14","4.88","4.98","1,209,615"
06/22/2023,"5.12","5.16","5.05","5.14","560,193"
06/21/2023,"5.14","5.21","5.12","5.13","387,213"
06/20/2023,"5.27","5.29","5.14","5.15","495,954"
06/16/2023,"5.29","5.34","5.18","5.25","1,412,513"
06/15/2023,"4.98","5.11","4.95","5.10","723,307"
06/14/2023,"5.12","5.18","4.99","5.00","477,527"
06/13/2023,"5.06","5.20","5.06","5.08","318,136"
06/12/2023,"5.06","5.15","5.01","5.05","505,136"
06/09/2023,"5.22","5.23","5.06","5.06","278,889"
06/08/2023,"5.40","5.41","5.21","5.24","724,731"
06/07/2023,"5.26","5.41","5.26","5.40","397,435"
06/06/2023,"5.07","5.25","5.06","5.23","369,963"
06/05/2023,"5.13","5.21","5.05","5.06","422,669"
06/02/2023,"4.94","5.14","4.94","5.14","652,369"
06/01/2023,"4.87","4.92","4.77","4.86","591,630"
05/31/2023,"4.82","4.86","4.77","4.84","762,446"
05/30/2023,"5.02","5.02","4.81","4.83","517,829"
05/26/2023,"4.95","5.05","4.95","5.01","386,847"
05/25/2023,"5.09","5.15","4.95","4.95","367,739"
05/24/2023,"5.23","5.23","5.10","5.13","435,596"
05/23/2023,"5.21","5.37","5.18","5.24","437,478"
05/22/2023,"5.14","5.30","5.14","5.21","384,081"
