Date,Open,High,Low,Close,Volume
11/10/2023,"0.0901","0.0901","0.0900","0.0900","145,660"
11/08/2023,"0.0960","0.0960","0.0901","0.0901","22,545"
11/07/2023,"0.0900","0.1140","0.0900","0.1140","891,357"
11/06/2023,"0.1020","0.1020","0.1000","0.1000","53,421"
11/03/2023,"0.1295","0.1295","0.0978","0.1001","1,057"
11/02/2023,"0.1149","0.1149","0.1149","0.1149","10"
11/01/2023,"0.1279","0.9919","0.1001","0.1149","9,840"
10/26/2023,"0.1299","0.1299","0.1299","0.1299","1,000"
10/25/2023,"0.1040","0.1299","0.0900","0.1299","30,680"
10/24/2023,"0.1000","0.1040","0.0970","0.1018","32,301"
10/20/2023,"0.1020","0.1020","0.1000","0.1000","1,739"
10/19/2023,"0.1222","0.1222","0.0901","0.1100","63,444"
10/18/2023,"0.1040","0.1399","0.1040","0.1399","10,303"
10/17/2023,"0.1040","0.1040","0.1040","0.1040","10,000"
10/16/2023,"0.1040","0.1040","0.1040","0.1040","10,400"
10/13/2023,"0.1040","0.1044","0.1040","0.1044","10,100"
10/12/2023,"0.1000","0.1000","0.1000","0.1000","20,865"
10/03/2023,"0.1304","0.1304","0.1001","0.1046","5,908"
10/02/2023,"0.1500","0.2974","0.0957","0.0957","6,431"
09/25/2023,"0.1225","0.1225","0.1219","0.1225","28,653"
09/19/2023,"0.1100","0.1100","0.1100","0.1100","6,598"
09/15/2023,"0.1100","0.1180","0.1100","0.1100","21,252"
09/11/2023,"0.1000","0.1000","0.1000","0.1000","912"
09/08/2023,"0.1000","0.1000","0.1000","0.1000","1,000"
09/01/2023,"0.1000","0.1000","0.1000","0.1000","100,000"
08/30/2023,"0.0876","0.0927","0.0876","0.0876","677"
08/23/2023,"0.1000","0.1000","0.1000","0.1000","801"
08/22/2023,"0.0840","0.0940","0.0840","0.0938","924"
08/21/2023,"0.0840","0.0840","0.0839","0.0839","303"
08/18/2023,"0.0870","0.0870","0.0870","0.0870","40"
08/17/2023,"0.1190","0.1190","0.0870","0.0870","53,274"
08/16/2023,"0.1000","0.1298","0.1000","0.1283","2,845"
08/15/2023,"0.1190","0.1190","0.1190","0.1190","26,202"
08/14/2023,"0.1100","0.1140","0.0810","0.1140","277,849"
08/10/2023,"0.1026","0.1340","0.0999","0.1000","53,655"
08/09/2023,"0.1025","0.1026","0.1025","0.1026","395"
08/07/2023,"0.0855","0.0855","0.0855","0.0855","106"
