Date,Open,High,Low,Close,Volume
11/10/2023,"0.01","0.01","0.01","0.01","16,158"
11/09/2023,"0.01","0.01","0.01","0.01","5,250"
11/08/2023,"0.01","0.01","0.01","0.01","16,345"
11/07/2023,"0.01","0.01","0.01","0.01","2,266"
11/06/2023,"0.01","0.01","0.01","0.01","2,564"
11/03/2023,"0.01","0.01","0.01","0.01","6,463"
11/02/2023,"0.01","0.01","0.01","0.01","10,843"
11/01/2023,"0.01","0.01","0.01","0.01","763"
10/31/2023,"0.01","0.01","0.01","0.01","6,379"
10/30/2023,"0.01","0.01","0.01","0.01","15,180"
10/27/2023,"0.01","0.01","0.01","0.01","11,438"
10/26/2023,"0.01","0.01","0.01","0.01","25,470"
10/25/2023,"0.01","0.01","0.01","0.01","16,630"
10/24/2023,"0.01","0.01","0.00","0.01","186,138"
10/20/2023,"0.01","0.01","0.01","0.01","1,115"
10/19/2023,"0.01","0.01","0.01","0.01","102,750"
10/18/2023,"0.01","0.01","0.01","0.01","25,161"
10/17/2023,"0.01","0.01","0.01","0.01","834"
10/16/2023,"0.01","0.01","0.01","0.01","36,215"
10/13/2023,"0.01","0.01","0.01","0.01","7,099"
10/12/2023,"0.01","0.01","0.01","0.01","19,605"
10/11/2023,"0.01","0.01","0.01","0.01","6,497"
10/10/2023,"0.01","0.01","0.01","0.01","22,220"
10/09/2023,"0.01","0.01","0.01","0.01","4,822"
10/06/2023,"0.01","0.01","0.01","0.01","7,955"
10/05/2023,"0.01","0.01","0.01","0.01","2,776"
10/04/2023,"0.01","0.01","0.01","0.01","13,872"
10/03/2023,"0.01","0.01","0.01","0.01","73,439"
10/02/2023,"0.01","0.01","0.01","0.01","3,922"
09/29/2023,"0.02","0.02","0.01","0.01","21,923"
09/28/2023,"0.01","0.02","0.01","0.02","20,538"
09/27/2023,"0.01","0.01","0.01","0.01","11,466"
09/26/2023,"0.01","0.02","0.01","0.01","40,224"
09/25/2023,"0.01","0.01","0.01","0.01","1,124"
09/22/2023,"0.01","0.01","0.01","0.01","5,664"
09/21/2023,"0.01","0.01","0.01","0.01","12,826"
09/20/2023,"0.01","0.01","0.01","0.01","167,239"
09/19/2023,"0.01","0.01","0.01","0.01","15,828"
09/18/2023,"0.02","0.02","0.01","0.01","59,971"
09/15/2023,"0.01","0.02","0.01","0.02","33,137"
09/14/2023,"0.01","0.01","0.01","0.01","4,949"
09/13/2023,"0.01","0.01","0.01","0.01","1,500"
09/12/2023,"0.01","0.01","0.01","0.01","17,196"
09/11/2023,"0.01","0.01","0.01","0.01","5,042"
09/08/2023,"0.01","0.01","0.01","0.01","12,941"
09/07/2023,"0.01","0.01","0.01","0.01","13,098"
09/06/2023,"0.01","0.01","0.01","0.01","20,226"
09/05/2023,"0.01","0.01","0.01","0.01","2,692"
09/01/2023,"0.01","0.01","0.01","0.01","49,354"
08/31/2023,"0.01","0.01","0.01","0.01","141,917"
08/30/2023,"0.01","0.01","0.01","0.01","7,845"
08/29/2023,"0.01","0.01","0.01","0.01","15,870"
08/28/2023,"0.01","0.01","0.01","0.01","7,205"
08/25/2023,"0.01","0.01","0.01","0.01","9,297"
08/24/2023,"0.01","0.01","0.01","0.01","65,733"
08/23/2023,"0.01","0.01","0.01","0.01","2,316"
08/22/2023,"0.01","0.01","0.01","0.01","19,314"
08/21/2023,"0.01","0.01","0.01","0.01","29,634"
08/18/2023,"0.01","0.01","0.01","0.01","16,599"
08/17/2023,"0.01","0.02","0.01","0.01","339,215"
