Date,Open,High,Low,Close,Volume
11/08/2023,"9.81","9.85","9.81","9.85","4,931"
11/07/2023,"9.81","9.95","9.81","9.95","2,125"
11/02/2023,"9.95","9.95","9.95","9.95","8"
11/01/2023,"9.81","9.95","9.81","9.95","395"
10/24/2023,"9.66","9.95","9.66","9.95","1,633"
10/23/2023,"9.66","9.95","9.66","9.95","443"
10/19/2023,"9.66","9.90","9.66","9.90","1,100"
10/17/2023,"9.81","9.83","9.40","9.83","11,660"
10/16/2023,"9.81","9.81","9.81","9.81","100"
10/13/2023,"9.95","9.95","9.90","9.90","4,800"
10/05/2023,"9.85","9.97","9.75","9.97","3,729"
10/04/2023,"9.90","9.97","9.80","9.97","800"
10/03/2023,"10.10","10.10","9.85","9.90","4,420"
10/02/2023,"10.10","10.10","10.10","10.10","1,000"
09/28/2023,"10.10","10.12","10.10","10.12","4,800"
09/26/2023,"10.30","10.30","10.20","10.20","5,200"
09/21/2023,"10.30","10.30","10.30","10.30","422"
09/18/2023,"10.33","10.33","10.33","10.33","10"
09/15/2023,"10.33","10.33","10.33","10.33","100"
09/14/2023,"10.25","10.30","10.25","10.30","1,587"
09/13/2023,"9.80","10.30","9.80","10.30","800"
09/11/2023,"10.25","10.27","10.25","10.27","1,669"
09/08/2023,"10.30","10.30","10.25","10.25","484"
08/31/2023,"10.35","10.35","10.35","10.35","200"
08/25/2023,"10.35","10.35","10.35","10.35","100"
08/17/2023,"10.06","10.06","10.06","10.06","287"
08/15/2023,"10.05","10.05","10.05","10.05","494"
08/03/2023,"10.00","10.00","10.00","10.00","6,585"
08/02/2023,"10.00","10.00","10.00","10.00","954"
08/01/2023,"10.00","10.00","10.00","10.00","10"
07/31/2023,"10.00","10.00","10.00","10.00","1,345"
07/28/2023,"9.99","9.99","9.99","9.99","9,014"
07/24/2023,"9.55","9.55","9.55","9.55","200"
07/21/2023,"9.52","10.00","9.52","9.52","2,836"
07/20/2023,"9.54","9.54","9.52","9.52","10,607"
07/17/2023,"9.35","9.75","9.35","9.75","517"
07/13/2023,"9.27","9.40","9.27","9.40","2,157"
07/12/2023,"9.22","9.50","9.22","9.50","300"
07/11/2023,"9.15","9.15","9.15","9.15","5"
07/10/2023,"9.15","9.15","9.15","9.15","200"
07/07/2023,"9.15","9.15","9.11","9.11","2,090"
07/06/2023,"9.06","9.06","9.06","9.06","117"
07/05/2023,"9.05","9.05","9.05","9.05","1,000"
07/03/2023,"8.99","9.00","8.99","9.00","6,256"
06/29/2023,"8.90","8.90","8.85","8.90","14,419"
06/28/2023,"8.85","8.85","8.85","8.85","1,350"
06/27/2023,"8.70","8.85","8.70","8.85","52,988"
06/26/2023,"8.65","8.70","8.65","8.70","5,817"
