Date,Open,High,Low,Close,Volume
11/10/2023,"12.81","12.97","12.35","12.54","3,875,692"
11/09/2023,"13.25","13.32","12.70","12.70","2,750,115"
11/08/2023,"13.51","13.76","13.28","13.28","1,705,621"
11/07/2023,"13.47","13.79","13.23","13.64","2,354,364"
11/06/2023,"13.99","14.05","13.49","13.53","2,164,399"
11/03/2023,"13.90","14.40","13.83","13.87","2,966,237"
11/02/2023,"13.37","13.70","13.28","13.64","3,566,585"
11/01/2023,"13.78","13.80","13.01","13.01","3,430,138"
10/31/2023,"12.85","13.90","12.82","13.77","4,574,637"
10/30/2023,"13.15","13.27","12.59","12.80","3,475,939"
10/27/2023,"13.51","13.62","13.02","13.12","2,481,701"
10/26/2023,"13.73","13.80","13.41","13.50","2,036,419"
10/25/2023,"14.01","14.01","13.61","13.71","1,967,280"
10/24/2023,"13.59","14.30","13.55","14.04","3,738,325"
10/23/2023,"13.28","13.59","13.04","13.44","2,785,462"
10/20/2023,"13.18","13.80","13.12","13.44","3,661,770"
10/19/2023,"13.80","13.85","12.90","13.16","5,808,038"
10/18/2023,"14.00","14.25","13.81","13.85","4,045,789"
10/17/2023,"14.25","14.83","14.10","14.12","3,842,428"
10/16/2023,"14.81","14.93","14.15","14.43","3,508,601"
10/13/2023,"14.92","15.11","14.78","14.92","1,835,601"
10/12/2023,"15.77","15.80","14.82","15.09","3,180,340"
10/11/2023,"16.01","16.09","15.74","15.82","2,098,203"
10/10/2023,"15.50","16.19","15.40","16.00","2,915,872"
10/09/2023,"14.77","15.50","14.72","15.40","2,276,323"
10/06/2023,"14.59","15.26","14.58","15.08","2,467,053"
10/05/2023,"14.70","14.98","14.58","14.71","1,945,094"
10/04/2023,"14.77","14.94","14.44","14.87","2,586,368"
10/03/2023,"15.29","15.29","14.57","14.60","4,510,325"
10/02/2023,"16.30","16.31","15.26","15.39","6,087,651"
09/29/2023,"17.05","17.26","16.40","16.46","3,397,024"
09/28/2023,"18.02","18.10","16.44","16.84","7,431,938"
09/27/2023,"16.87","17.26","16.81","17.15","1,681,325"
09/26/2023,"17.38","17.82","16.78","16.78","2,726,813"
09/25/2023,"17.00","17.72","16.85","17.67","2,181,230"
09/22/2023,"17.18","17.35","17.00","17.18","2,102,886"
09/21/2023,"17.28","17.32","16.65","17.02","2,913,533"
09/20/2023,"17.63","17.93","17.45","17.52","2,134,121"
09/19/2023,"17.59","17.64","17.13","17.52","2,584,791"
09/18/2023,"17.99","18.10","17.35","17.55","3,694,591"
09/15/2023,"18.36","18.61","18.15","18.22","6,166,608"
09/14/2023,"17.80","18.52","17.60","18.33","3,077,962"
09/13/2023,"17.31","17.93","17.27","17.81","3,012,556"
09/12/2023,"17.53","18.50","17.19","17.23","5,179,405"
09/11/2023,"17.85","17.85","16.90","17.02","3,543,797"
09/08/2023,"18.15","18.50","17.35","17.71","4,694,034"
09/07/2023,"19.13","19.48","17.61","18.89","5,021,288"
09/06/2023,"19.06","19.15","18.42","18.75","6,107,245"
09/05/2023,"18.45","19.34","18.26","19.23","3,781,292"
09/01/2023,"18.66","18.73","18.32","18.42","2,135,901"
08/31/2023,"18.41","19.42","18.15","18.55","4,674,143"
08/30/2023,"18.20","18.53","17.91","18.37","1,884,501"
08/29/2023,"17.60","18.55","17.60","18.24","2,709,238"
08/28/2023,"17.35","18.11","17.25","17.57","3,007,418"
08/25/2023,"16.50","17.18","16.45","17.13","3,423,462"
08/24/2023,"16.94","16.98","16.18","16.36","3,624,485"
08/23/2023,"17.25","17.34","16.88","16.89","2,909,054"
08/22/2023,"18.62","18.62","17.25","17.26","3,791,911"
08/21/2023,"18.30","18.82","18.20","18.48","2,864,735"
08/18/2023,"18.18","18.66","18.14","18.36","2,029,098"
08/17/2023,"18.79","18.81","18.30","18.38","2,056,830"
08/16/2023,"19.18","19.34","18.55","18.59","3,015,627"
08/15/2023,"19.77","19.78","19.09","19.33","2,290,326"
08/14/2023,"19.75","20.01","19.08","19.96","3,329,291"
08/11/2023,"20.03","20.38","19.97","20.19","1,522,912"
08/10/2023,"20.00","20.29","19.87","20.19","1,432,446"
08/09/2023,"20.85","20.85","19.82","19.93","2,929,553"
08/08/2023,"20.70","20.90","20.28","20.74","1,431,250"
08/07/2023,"20.90","21.24","20.48","21.07","1,441,290"
08/04/2023,"20.95","21.89","20.89","20.98","2,406,033"
08/03/2023,"20.88","21.18","20.74","20.93","1,324,938"
08/02/2023,"21.15","21.15","20.34","20.83","2,630,714"
08/01/2023,"21.95","22.00","21.26","21.50","2,574,804"
07/31/2023,"22.00","22.38","21.85","22.20","1,975,391"
07/28/2023,"22.02","22.49","21.79","21.93","2,647,747"
07/27/2023,"22.94","23.49","22.13","22.22","3,370,913"
07/26/2023,"22.70","22.99","22.48","22.70","1,489,152"
07/25/2023,"23.10","23.10","22.53","22.85","1,671,991"
07/24/2023,"22.42","23.04","22.20","23.04","2,970,433"
07/21/2023,"23.05","23.22","22.16","22.18","3,167,916"
07/20/2023,"23.01","23.22","22.66","22.91","2,256,659"
07/19/2023,"23.42","23.58","22.96","23.17","2,250,133"
07/18/2023,"22.72","23.80","22.68","23.08","2,345,137"
07/17/2023,"22.88","23.31","22.70","22.82","2,033,970"
07/14/2023,"23.49","23.72","22.94","22.97","2,178,827"
07/13/2023,"23.54","23.98","23.42","23.46","1,912,157"
07/12/2023,"24.25","24.31","23.44","23.44","1,742,244"
07/11/2023,"23.20","24.44","23.20","23.91","3,063,534"
07/10/2023,"22.61","23.56","22.00","23.54","3,318,214"
07/07/2023,"22.97","23.53","22.67","22.71","2,447,203"
07/06/2023,"23.52","23.57","22.82","22.83","2,390,303"
07/05/2023,"24.64","24.85","23.79","23.90","2,268,244"
07/03/2023,"24.29","25.11","24.21","24.91","1,806,580"
06/30/2023,"24.97","25.13","24.25","24.25","2,803,299"
06/29/2023,"24.96","25.47","24.62","24.90","3,101,049"
06/28/2023,"23.44","25.10","23.40","24.98","3,493,873"
06/27/2023,"23.29","23.60","23.00","23.58","2,141,510"
06/26/2023,"23.38","24.03","22.91","23.02","2,525,247"
06/23/2023,"23.78","24.15","23.68","23.70","2,261,038"
06/22/2023,"24.13","24.33","23.76","24.32","1,895,012"
06/21/2023,"24.84","25.10","24.10","24.43","2,404,694"
06/20/2023,"24.41","24.65","23.72","24.58","3,254,039"
06/16/2023,"25.02","25.11","24.42","24.56","4,443,512"
06/15/2023,"25.41","26.17","24.64","24.84","5,501,822"
06/14/2023,"26.72","27.08","24.90","25.70","7,243,697"
06/13/2023,"26.20","27.65","25.03","26.95","17,160,609"
06/12/2023,"22.85","24.30","22.74","24.30","7,142,290"
06/09/2023,"21.78","23.43","21.50","22.68","10,342,630"
06/08/2023,"20.30","22.00","20.10","21.44","19,213,301"
06/07/2023,"26.20","26.55","25.07","26.11","18,001,070"
06/06/2023,"24.01","25.25","24.00","24.69","3,984,262"
06/05/2023,"24.53","25.84","24.16","24.31","4,975,127"
06/02/2023,"24.29","24.93","24.28","24.64","3,300,736"
06/01/2023,"24.04","24.66","23.78","24.10","3,844,957"
05/31/2023,"24.51","24.80","23.88","24.05","4,265,226"
05/30/2023,"23.35","24.69","23.30","24.57","5,037,830"
05/26/2023,"23.47","23.71","23.06","23.25","2,261,884"
05/25/2023,"23.50","23.69","22.71","23.35","2,494,434"
05/24/2023,"23.13","23.52","22.73","23.27","1,900,997"
05/23/2023,"23.89","23.90","22.80","23.16","3,786,525"
05/22/2023,"22.10","24.36","21.99","24.21","6,251,635"
05/19/2023,"22.94","22.99","21.75","22.06","2,668,214"
05/18/2023,"22.90","23.30","22.68","23.05","2,144,412"
05/17/2023,"21.99","23.25","21.90","22.87","4,572,988"
05/16/2023,"21.50","22.10","21.42","21.99","2,500,775"
05/15/2023,"20.62","21.63","20.49","21.62","2,601,994"
05/12/2023,"20.83","20.98","20.23","20.69","2,006,061"
05/11/2023,"20.69","21.16","20.51","20.88","1,652,512"
05/10/2023,"20.45","20.96","20.38","20.76","2,139,945"
05/09/2023,"20.16","20.65","20.12","20.24","1,522,674"
05/08/2023,"20.46","20.99","20.09","20.51","2,402,799"
05/05/2023,"19.62","20.88","19.51","20.42","4,357,180"
05/04/2023,"19.25","19.48","18.92","19.35","2,041,842"
05/03/2023,"18.56","19.20","18.53","18.90","3,184,021"
05/02/2023,"18.45","18.58","18.06","18.58","1,918,257"
05/01/2023,"19.16","19.25","18.46","18.55","2,356,640"
04/28/2023,"18.92","19.72","18.88","19.29","2,836,576"
04/27/2023,"18.75","19.34","18.72","18.94","2,238,947"
04/26/2023,"18.98","19.23","18.65","18.65","2,287,611"
04/25/2023,"19.74","20.04","18.91","19.00","2,560,841"
04/24/2023,"20.15","20.41","19.81","19.93","2,742,391"
04/21/2023,"20.20","20.62","20.10","20.49","2,085,872"
04/20/2023,"20.88","21.57","20.06","20.22","2,977,376"
04/19/2023,"21.28","21.87","20.96","21.31","2,539,480"
04/18/2023,"22.14","22.32","21.50","21.61","2,748,702"
04/17/2023,"22.27","22.68","22.14","22.28","2,066,616"
04/14/2023,"22.74","23.25","22.32","22.46","2,312,372"
04/13/2023,"22.50","22.85","22.33","22.55","1,803,934"
04/12/2023,"22.90","23.28","22.26","22.26","2,141,141"
04/11/2023,"22.57","23.17","22.42","22.69","2,539,969"
04/10/2023,"21.85","22.43","21.82","22.37","2,176,087"
04/06/2023,"22.00","22.67","21.77","22.40","2,506,935"
04/05/2023,"22.47","22.47","21.23","22.07","3,638,100"
04/04/2023,"22.75","23.14","22.09","22.35","3,421,464"
04/03/2023,"22.94","23.85","22.66","23.17","4,274,492"
03/31/2023,"22.35","23.07","22.15","23.02","3,880,261"
03/30/2023,"22.60","22.83","22.11","22.50","3,477,609"
03/29/2023,"23.08","23.70","22.22","22.46","4,161,361"
03/28/2023,"22.97","23.54","22.22","23.15","5,711,651"
03/27/2023,"23.99","24.01","22.69","23.00","4,580,797"
03/24/2023,"22.32","23.99","22.10","23.98","8,768,674"
03/23/2023,"22.57","24.59","22.13","22.58","11,168,850"
03/22/2023,"26.60","27.00","23.05","23.87","66,764,648"
03/21/2023,"17.15","18.35","17.14","17.65","15,882,850"
03/20/2023,"16.65","17.27","16.25","16.87","4,463,676"
03/17/2023,"16.62","16.72","15.92","16.60","5,105,501"
03/16/2023,"16.00","16.77","15.53","16.76","4,093,282"
03/15/2023,"16.50","16.69","15.70","15.95","4,541,529"
03/14/2023,"17.37","17.41","16.40","16.91","3,077,400"
03/13/2023,"16.77","17.35","16.52","16.75","2,959,090"
03/10/2023,"17.53","17.77","16.85","17.25","2,845,500"
03/09/2023,"18.07","18.38","17.48","17.52","2,652,605"
03/08/2023,"18.05","18.38","17.63","18.17","3,277,810"
03/07/2023,"18.54","18.84","18.06","18.06","2,375,301"
03/06/2023,"18.52","19.50","18.52","18.65","2,815,336"
